area_code,area_name,total_persons,n_very_good,n_good,n_fair,n_bad,n_very_bad,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,n_bad_or_very_bad,pct_bad_or_very_bad
E06000055,Bedford UA,157479,73860,56663,19812,5596,1548,46.9,36.0,12.6,3.6,1.0,7144,4.6
E06000056,Central Bedfordshire UA,254381,125019,90360,29202,7672,2128,49.1,35.5,11.5,3.0,0.8,9800,3.8
E06000032,Luton UA,203201,94607,73300,25277,7571,2446,46.6,36.1,12.4,3.7,1.2,10017,4.9
E06000031,Peterborough UA,183631,81275,68493,24362,7425,2076,44.3,37.3,13.3,4.0,1.1,9501,5.1
E06000033,Southend-on-Sea UA,173658,78341,60929,24420,7778,2190,45.1,35.1,14.1,4.5,1.3,9968,5.8
E06000034,Thurrock UA,157705,76012,54788,19389,5888,1628,48.2,34.7,12.3,3.7,1.0,7516,4.7
E07000008,Cambridge,123867,67743,39600,12021,3533,970,54.7,32.0,9.7,2.9,0.8,4503,3.7
E07000009,East Cambridgeshire,83818,40874,29487,10131,2614,712,48.8,35.2,12.1,3.1,0.8,3326,3.9000000000000004
E07000010,Fenland,95262,37577,36042,15760,4590,1293,39.4,37.8,16.5,4.8,1.4,5883,6.199999999999999
E07000011,Huntingdonshire,169508,82675,60470,19682,5239,1442,48.8,35.7,11.6,3.1,0.9,6681,4.0
E07000012,South Cambridgeshire,148755,78041,50147,15792,3739,1036,52.5,33.7,10.6,2.5,0.7,4775,3.2
E07000066,Basildon,174497,80704,60991,23145,7355,2302,46.2,35.0,13.3,4.2,1.3,9657,5.5
E07000067,Braintree,147084,69884,52492,18291,5046,1371,47.5,35.7,12.4,3.4,0.9,6417,4.3
E07000068,Brentwood,73601,37548,24537,8565,2306,645,51.0,33.3,11.6,3.1,0.9,2951,4.0
E07000069,Castle Point,88011,38280,31786,12963,3873,1109,43.5,36.1,14.7,4.4,1.3,4982,5.7
E07000070,Chelmsford,168310,84476,58430,19261,4778,1365,50.2,34.7,11.4,2.8,0.8,6143,3.5999999999999996
E07000071,Colchester,173074,84520,60279,20925,5692,1658,48.8,34.8,12.1,3.3,1.0,7350,4.3
E07000072,Epping Forest,124659,61413,42077,15435,4441,1293,49.3,33.8,12.4,3.6,1.0,5734,4.6
E07000073,Harlow,81944,36969,29380,11203,3398,994,45.1,35.9,13.7,4.1,1.2,4392,5.3
E07000074,Maldon,61629,28471,21961,8269,2260,668,46.2,35.6,13.4,3.7,1.1,2928,4.800000000000001
E07000075,Rochford,83287,39774,29085,10832,2816,780,47.8,34.9,13.0,3.4,0.9,3596,4.3
E07000076,Tendring,138048,53035,49451,25052,8048,2462,38.4,35.8,18.1,5.8,1.8,10510,7.6
E07000077,Uttlesford,79443,41746,26483,8620,2067,527,52.5,33.3,10.9,2.6,0.7,2594,3.3
E07000095,Broxbourne,93609,44661,33072,11544,3357,975,47.7,35.3,12.3,3.6,1.0,4332,4.6
E07000096,Dacorum,144847,72910,49326,16778,4576,1257,50.3,34.1,11.6,3.2,0.9,5833,4.1000000000000005
E07000097,East Hertfordshire,137687,72332,46399,14325,3678,953,52.5,33.7,10.4,2.7,0.7,4631,3.4000000000000004
E07000098,Hertsmere,100031,51558,32887,11433,3208,945,51.5,32.9,11.4,3.2,0.9,4153,4.1000000000000005
E07000099,North Hertfordshire,127114,63801,43360,14965,3958,1030,50.2,34.1,11.8,3.1,0.8,4988,3.9000000000000004
E07000100,St Albans,140664,77531,44813,13802,3521,997,55.1,31.9,9.8,2.5,0.7,4518,3.2
E07000101,Stevenage,83957,39514,29953,10652,2984,854,47.1,35.7,12.7,3.6,1.0,3838,4.6
E07000102,Three Rivers,87317,44267,29873,9772,2672,733,50.7,34.2,11.2,3.1,0.8,3405,3.9000000000000004
E07000103,Watford,90301,45200,31453,9911,2931,806,50.1,34.8,11.0,3.2,0.9,3737,4.1000000000000005
E07000104,Welwyn Hatfield,110535,56252,37488,12427,3431,937,50.9,33.9,11.2,3.1,0.8,4368,3.9000000000000004
E07000143,Breckland,130491,55097,48663,19565,5623,1543,42.2,37.3,15.0,4.3,1.2,7166,5.5
E07000144,Broadland,124646,55219,46106,17475,4499,1347,44.3,37.0,14.0,3.6,1.1,5846,4.7
E07000145,Great Yarmouth,97277,39204,35032,16130,5330,1581,40.3,36.0,16.6,5.5,1.6,6911,7.1
E07000146,Kings Lynn and West Norfolk,147451,60322,54681,23441,7077,1930,40.9,37.1,15.9,4.8,1.3,9007,6.1
E07000147,North Norfolk,101499,39504,38336,17412,4839,1408,38.9,37.8,17.2,4.8,1.4,6247,6.199999999999999
E07000148,Norwich,132512,59454,46939,18620,5862,1637,44.9,35.4,14.1,4.4,1.2,7499,5.6000000000000005
E07000149,South Norfolk,124012,57480,44400,16575,4297,1260,46.4,35.8,13.4,3.5,1.0,5557,4.5
E07000200,Babergh,87740,40875,31433,11624,3023,785,46.6,35.8,13.2,3.4,0.9,3808,4.3
E07000201,Forest Heath,59748,28739,21194,7235,2035,545,48.1,35.5,12.1,3.4,0.9,2580,4.3
E07000202,Ipswich,133384,60771,47800,18053,5233,1527,45.6,35.8,13.5,3.9,1.1,6760,5.0
E07000203,Mid Suffolk,96731,46319,34155,12432,3020,805,47.9,35.3,12.9,3.1,0.8,3825,3.9000000000000004
E07000204,St Edmundsbury,111008,52543,39656,14081,3695,1033,47.3,35.7,12.7,3.3,0.9,4728,4.2
E07000205,Suffolk Coastal,124298,57526,44087,17122,4427,1136,46.3,35.5,13.8,3.6,0.9,5563,4.5
E07000206,Waveney,115254,47348,41820,18541,5829,1716,41.1,36.3,16.1,5.1,1.5,7545,6.6
E09000007,Camden,220338,117692,67334,22963,9174,3175,53.4,30.6,10.4,4.2,1.4,12349,5.6
E09000001,City of London,7375,4112,2374,643,190,56,55.8,32.2,8.7,2.6,0.8,246,3.4000000000000004
E09000012,Hackney,246270,128442,75699,26837,11183,4109,52.2,30.7,10.9,4.5,1.7,15292,6.2
E09000013,Hammersmith and Fulham,182493,103036,53374,17188,6531,2364,56.5,29.2,9.4,3.6,1.3,8895,4.9
E09000014,Haringey,254926,126485,85567,28444,10650,3780,49.6,33.6,11.2,4.2,1.5,14430,5.7
E09000019,Islington,206125,106386,63382,23113,9771,3473,51.6,30.7,11.2,4.7,1.7,13244,6.4
E09000020,Kensington and Chelsea,158649,91764,45189,14464,5357,1875,57.8,28.5,9.1,3.4,1.2,7232,4.6
E09000022,Lambeth,303086,160326,97286,31188,10729,3557,52.9,32.1,10.3,3.5,1.2,14286,4.7
E09000023,Lewisham,275885,135428,93850,32289,10755,3563,49.1,34.0,11.7,3.9,1.3,14318,5.2
E09000025,Newham,307984,149269,106549,34839,12763,4564,48.5,34.6,11.3,4.1,1.5,17327,5.6
E09000028,Southwark,288283,154204,90004,29935,10544,3596,53.5,31.2,10.4,3.7,1.2,14140,4.9
E09000030,Tower Hamlets,254096,128468,83209,27062,11228,4129,50.6,32.7,10.7,4.4,1.6,15357,6.0
E09000032,Wandsworth,306995,176198,91935,27299,8749,2814,57.4,29.9,8.9,2.8,0.9,11563,3.6999999999999997
E09000033,Westminster,219396,118808,65807,22027,9263,3491,54.2,30.0,10.0,4.2,1.6,12754,5.800000000000001
E09000002,Barking and Dagenham,185911,87819,62720,24042,8686,2644,47.2,33.7,12.9,4.7,1.4,11330,6.1
E09000003,Barnet,356386,183453,117508,39172,12197,4056,51.5,33.0,11.0,3.4,1.1,16253,4.5
E09000004,Bexley,231997,111323,80446,29015,8688,2525,48.0,34.7,12.5,3.7,1.1,11213,4.800000000000001
E09000005,Brent,311215,149695,108169,36731,12339,4281,48.1,34.8,11.8,4.0,1.4,16620,5.4
E09000006,Bromley,309392,154998,105574,36098,9904,2818,50.1,34.1,11.7,3.2,0.9,12722,4.1000000000000005
E09000008,Croydon,363378,174584,128634,43473,12734,3953,48.0,35.4,12.0,3.5,1.1,16687,4.6
E09000009,Ealing,338449,166385,116712,38421,12817,4114,49.2,34.5,11.4,3.8,1.2,16931,5.0
E09000010,Enfield,312466,146351,109394,39699,12840,4182,46.8,35.0,12.7,4.1,1.3,17022,5.3999999999999995
E09000011,Greenwich,254557,127641,83875,29386,10420,3235,50.1,32.9,11.5,4.1,1.3,13655,5.3999999999999995
E09000015,Harrow,239056,113731,86069,28329,8289,2638,47.6,36.0,11.9,3.5,1.1,10927,4.6
E09000016,Havering,237232,109131,84378,31492,9464,2767,46.0,35.6,13.3,4.0,1.2,12231,5.2
E09000017,Hillingdon,273936,133627,96647,31492,9404,2766,48.8,35.3,11.5,3.4,1.0,12170,4.4
E09000018,Hounslow,253957,124442,89064,28552,9085,2814,49.0,35.1,11.2,3.6,1.1,11899,4.7
E09000021,Kingston upon Thames,160060,84332,53598,16425,4438,1267,52.7,33.5,10.3,2.8,0.8,5705,3.5999999999999996
E09000024,Merton,199693,103891,67098,21025,5930,1749,52.0,33.6,10.5,3.0,0.9,7679,3.9
E09000026,Redbridge,278970,134230,97595,33470,10479,3196,48.1,35.0,12.0,3.8,1.1,13675,4.9
E09000027,Richmond upon Thames,186990,107217,57088,16662,4617,1406,57.3,30.5,8.9,2.5,0.8,6023,3.3
