year,area_code,area_name,total_16plus_2021,n_active_excl_students_2021,n_in_employment_excl_students_2021,n_unemployed_excl_students_2021,n_active_ft_student_2021,n_active_ft_student_in_employment_2021,n_active_ft_student_unemployed_2021,n_active_total_2021,n_in_employment_total_2021,n_unemployed_total_2021,n_inactive_2021,n_retired_2021,n_student_inactive_2021,n_home_family_2021,n_long_term_sick_disabled_2021,n_inactive_other_2021,pct_active_total_2021,pct_in_employment_total_2021,pct_unemployed_total_2021,pct_inactive_2021,pct_retired_2021,pct_student_inactive_2021,pct_home_family_2021,pct_long_term_sick_disabled_2021,pct_inactive_other_2021
2021,E06000023,"Bristol, City of",389708,237400,227604,9796,15252,10906,4346,252652,238510,14142,137056,56502,38164,15014,16350,11026,64.83,61.2,3.63,35.17,14.5,9.79,3.85,4.2,2.83
2021,E06000024,North Somerset,178567,103411,100107,3304,3228,2595,633,106639,102702,3937,71928,49984,6164,5779,6461,3540,59.72,57.51,2.2,40.28,27.99,3.45,3.24,3.62,1.98
2021,E06000025,South Gloucestershire,237366,147707,143392,4315,5759,4220,1539,153466,147612,5854,83900,53153,11240,7439,6581,5487,64.65,62.19,2.47,35.35,22.39,4.74,3.13,2.77,2.31
2021,E06000026,Plymouth,218624,121278,115976,5302,6866,5042,1824,128144,121018,7126,90480,47650,15627,9228,11973,6002,58.61,55.35,3.26,41.39,21.8,7.15,4.22,5.48,2.75
2021,E06000027,Torbay,117030,60685,57665,3020,1694,1270,424,62379,58935,3444,54651,35505,3848,5037,6901,3360,53.3,50.36,2.94,46.7,30.34,3.29,4.3,5.9,2.87
2021,E06000030,Swindon,187151,120635,115523,5112,3267,2343,924,123902,117866,6036,63249,35844,6664,8678,6792,5271,66.2,62.98,3.23,33.8,19.15,3.56,4.64,3.63,2.82
2021,E06000031,Peterborough,167574,103980,98644,5336,3122,2325,797,107102,100969,6133,60472,28974,7401,10040,7453,6604,63.91,60.25,3.66,36.09,17.29,4.42,5.99,4.45,3.94
2021,E06000032,Luton,172695,100863,93542,7321,6983,5176,1807,107846,98718,9128,64849,24233,11636,14512,6720,7748,62.45,57.16,5.29,37.55,14.03,6.74,8.4,3.89,4.49
2021,E06000033,Southend-on-Sea,146410,86264,81513,4751,2372,1746,626,88636,83259,5377,57774,32958,5769,7715,6375,4957,60.54,56.87,3.67,39.46,22.51,3.94,5.27,4.35,3.39
2021,E06000034,Thurrock,136364,87752,83356,4396,3361,2592,769,91113,85948,5165,45251,22845,6137,7452,4430,4387,66.82,63.03,3.79,33.18,16.75,4.5,5.46,3.25,3.22
2021,E06000035,Medway,222755,136138,129425,6713,4433,3179,1254,140571,132604,7967,82184,43599,10373,11940,9062,7210,63.11,59.53,3.58,36.89,19.57,4.66,5.36,4.07,3.24
