year,area_code,area_name,umap1,umap2,umap_cluster,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,pct_bad_or_very_bad,pct_unemployed_of_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive
2021,E07000113,Swale,5.081596,3.7100823,1,45.47,34.77,14.07,4.41,1.28,5.69,3.21,22.53,3.5,5.52,4.49,4.03
2021,E07000114,Thanet,6.680353,4.649845,1,41.97,35.04,15.75,5.56,1.67,7.24,3.59,27.89,3.6,5.13,5.39,3.12
2021,E07000115,Tonbridge and Malling,2.7011583,2.2263124,4,51.36,33.32,11.32,3.15,0.85,4.0,2.43,22.89,3.9,4.74,2.8,2.18
2021,E07000116,Tunbridge Wells,2.482118,2.4360678,4,52.76,32.53,10.91,2.96,0.84,3.8,2.58,22.46,4.26,4.92,2.85,2.43
2021,E07000117,Burnley,5.9117646,4.94053,1,45.06,33.36,14.59,5.36,1.63,6.99,3.59,21.68,4.69,6.2,6.71,3.9
2021,E07000118,Chorley,5.4200873,2.1318524,4,48.7,33.22,12.91,4.02,1.15,5.18,2.35,24.77,3.11,3.16,3.93,3.29
2021,E07000119,Fylde,6.2824025,2.29293,1,45.99,33.7,14.52,4.47,1.31,5.79,2.34,33.23,3.17,3.08,3.88,2.72
2021,E07000120,Hyndburn,6.198459,4.7316995,1,43.92,34.3,14.77,5.33,1.66,7.0,3.38,22.37,4.65,5.43,6.43,3.46
2021,E07000121,Lancaster,2.7333286,7.387534,3,46.49,34.18,13.73,4.35,1.25,5.6,2.83,23.94,10.71,3.31,4.33,2.72
2021,E07000122,Pendle,5.3166556,5.0552664,1,46.73,33.68,13.77,4.48,1.34,5.82,3.17,22.21,5.12,7.42,5.21,4.19
2021,E07000123,Preston,3.613308,6.858474,3,48.42,33.09,12.91,4.31,1.26,5.57,3.84,17.95,7.92,5.37,5.16,3.61
2021,E07000124,Ribble Valley,2.9241147,1.2076577,4,52.57,32.1,11.56,3.01,0.76,3.77,1.68,28.95,3.52,2.41,2.46,1.93
2021,E07000125,Rossendale,5.7815175,3.4823825,1,47.0,33.24,13.65,4.84,1.28,6.12,2.73,23.28,4.03,4.08,5.1,2.99
2021,E07000126,South Ribble,5.1991053,1.6360358,4,47.89,34.06,13.09,3.89,1.07,4.96,2.24,26.39,3.16,2.81,3.6,2.02
2021,E07000127,West Lancashire,5.5066113,2.4570327,4,48.08,33.14,13.12,4.35,1.31,5.66,3.03,25.14,7.48,3.43,4.1,2.36
