Table QS601EW,,,,,,,,,,,,,,,,,,,
"2011 Census: Economic activity, local authorities in England and Wales",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,,,
"Constituent Countries; Regions, counties, London boroughs, unitary",,,,,,,,,,,,,,,,,,,
authorities and districts in England; unitary authorities in Wales,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
All usual residents aged 16 to 74,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Area code,Area name,,,All categories: Economic activity,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
,,,,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
,,,,Number,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E11000006,,West Yorkshire (Met County),,"1,624,023",68.5,14.1,37.5,0.4,1.6,2.1,4.0,5.0,3.8,31.5,13.5,6.3,4.7,4.6,2.5
E08000032,,,Bradford,"366,217",66.6,14.4,34.3,0.5,1.7,2.4,4.0,5.8,3.4,33.4,12.0,6.4,6.7,5.0,3.4
E08000033,,,Calderdale,"148,766",70.5,14.7,38.7,0.4,1.9,2.5,4.7,5.0,2.6,29.5,15.1,4.1,3.9,4.4,2.0
E08000034,,,Kirklees ,"307,194",68.2,14.5,36.5,0.5,1.8,2.3,4.3,4.7,3.5,31.8,14.3,5.7,5.0,4.4,2.4
E08000035,,,Leeds,"560,849",69.5,13.1,38.8,0.3,1.5,1.9,3.8,4.8,5.3,30.5,12.4,8.2,3.6,4.0,2.2
E08000036,,,Wakefield,"240,997",68.4,14.8,39.7,0.3,1.4,1.6,3.5,4.9,2.1,31.6,16.1,3.5,4.0,5.8,2.2
,,,,,,,,,,,,,,,,,,,
E12000004,EAST MIDLANDS,,,"3,336,532",69.3,14.4,38.8,0.3,1.7,2.2,4.4,4.2,3.3,30.7,15.0,5.8,4.0,4.1,1.9
,,,,,,,,,,,,,,,,,,,
E06000015,,Derby UA,,"179,291",69.0,14.7,38.5,0.3,1.1,1.7,3.4,5.2,4.2,31.0,12.8,6.3,4.8,4.8,2.4
E06000016,,Leicester UA,,"242,232",64.6,13.8,33.3,0.3,1.1,1.5,2.8,6.2,5.5,35.4,9.3,11.4,6.2,5.1,3.4
E06000018,,Nottingham UA,,"232,072",61.3,11.9,31.1,0.2,0.9,1.5,2.9,6.4,6.3,38.7,9.1,16.3,4.7,5.7,3.0
E06000017,,Rutland UA,,"27,052",69.3,14.2,38.1,0.6,2.6,3.6,5.6,2.4,2.2,30.7,16.9,5.8,3.2,1.7,3.0
,,,,,,,,,,,,,,,,,,,
E10000007,,Derbyshire ,,"567,798",69.9,15.3,39.1,0.3,1.8,2.3,4.8,3.9,2.4,30.1,16.9,3.6,3.7,4.3,1.6
E07000032,,,Amber Valley,"90,558",69.9,14.8,40.0,0.3,1.8,2.3,4.7,3.9,2.2,30.1,17.4,3.4,3.8,4.1,1.5
E07000033,,,Bolsover,"55,945",66.9,14.3,38.5,0.3,1.5,1.7,3.8,4.7,2.2,33.1,16.9,3.5,4.4,6.5,1.8
E07000034,,,Chesterfield,"76,409",67.9,16.1,37.4,0.3,1.3,1.9,3.9,4.7,2.4,32.1,16.9,3.6,3.8,6.0,1.8
E07000035,,,Derbyshire Dales,"51,978",70.3,15.9,34.9,0.6,3.1,3.7,7.2,2.7,2.2,29.7,19.1,3.3,3.0,2.5,1.8
E07000036,,,Erewash,"82,609",71.5,15.1,41.5,0.3,1.5,2.0,4.2,4.5,2.4,28.5,15.6,3.6,3.8,4.0,1.6
E07000037,,,High Peak,"67,389",72.1,15.3,39.1,0.4,2.1,2.8,5.8,3.8,2.7,27.9,15.7,4.3,3.0,3.7,1.3
E07000038,,,North East Derbyshire,"73,460",68.0,15.9,36.9,0.4,1.9,2.2,4.8,3.7,2.3,32.0,19.3,3.4,3.5,4.5,1.4
E07000039,,,South Derbyshire,"69,450",72.5,14.8,42.8,0.4,1.9,2.3,4.6,3.1,2.6,27.5,14.8,3.6,4.0,3.5,1.6
,,,,,,,,,,,,,,,,,,,
E10000018,,Leicestershire ,,"479,462",71.4,14.7,40.7,0.4,2.0,2.5,4.9,3.0,3.1,28.6,15.3,6.1,3.2,2.6,1.4
