Table QS405EW,,,,,,,,,,,,,,,,,
"2011 Census: Tenure - Households, local authorities in England and Wales",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,
"Constituent Countries; Regions, counties, London boroughs, unitary",,,,,,,,,,,,,,,,,
authorities and districts in England; unitary authorities in Wales,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All households,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area code,Area name,,,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
,,,,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households
,,,,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
,,,,,,,,,,,,,,,,,
E10000023,,North Yorkshire ,,"256,594","178,684","98,525","80,159","1,357","28,647","10,267","18,380","43,051","36,786","2,232","2,523","1,510","4,855"
E07000163,,,Craven,"24,583","17,973","10,396","7,577",116,"2,212",558,"1,654","3,782","3,360",89,261,72,500
E07000164,,,Hambleton,"38,117","26,508","15,135","11,373",156,"4,923",372,"4,551","5,770","4,622",546,340,262,760
E07000165,,,Harrogate,"67,169","47,738","25,118","22,620",395,"6,138","3,608","2,530","11,771","10,394",438,638,301,"1,127"
E07000166,,,Richmondshire,"20,207","12,910","7,295","5,615",104,"2,183","1,451",732,"4,519","2,877",810,240,592,491
E07000167,,,Ryedale,"22,524","15,124","9,329","5,795",83,"2,896",213,"2,683","3,773","3,321",163,216,73,648
E07000168,,,Scarborough,"49,435","32,520","19,323","13,197",302,"6,134","1,163","4,971","9,640","8,812",108,559,161,839
E07000169,,,Selby,"34,559","25,911","11,929","13,982",201,"4,161","2,902","1,259","3,796","3,400",78,269,49,490
,,,,,,,,,,,,,,,,,
E11000003,,South Yorkshire (Met County),,"565,442","352,304","165,391","186,913","2,053","123,641","97,165","26,476","79,652","72,654",522,"5,169","1,307","7,792"
E08000016,,,Barnsley,"100,734","64,807","30,778","34,029",445,"21,032","17,831","3,201","12,856","11,812",76,837,131,"1,594"
E08000017,,,Doncaster,"126,487","82,760","39,253","43,507",418,"22,403","19,173","3,230","18,774","17,084",159,"1,371",160,"2,132"
E08000018,,,Rotherham ,"108,293","70,610","33,031","37,579",309,"23,289","19,436","3,853","12,262","11,153",74,880,155,"1,823"
E08000019,,,Sheffield,"229,928","134,127","62,329","71,798",881,"56,917","40,725","16,192","35,760","32,605",213,"2,081",861,"2,243"
,,,,,,,,,,,,,,,,,
E11000006,,West Yorkshire (Met County),,"922,452","580,650","265,878","314,772","4,266","173,038","115,626","57,412","151,029","138,754",803,"9,567","1,905","13,469"
