area_code,area_name,total_persons_health,n_very_good,n_good,n_fair,n_bad,n_very_bad,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,n_bad_or_very_bad,pct_bad_or_very_bad,total_persons_econ,n_active_total,n_employee_part_time,n_employee_full_time,n_self_emp_with_employees_part_time,n_self_emp_with_employees_full_time,n_self_emp_without_employees_part_time,n_self_emp_without_employees_full_time,n_unemployed,n_full_time_student_active,n_inactive_total,n_retired,n_student_inactive,n_looking_after_home_family,n_long_term_sick_disabled,n_other_inactive,pct_active_total,pct_employee_part_time,pct_employee_full_time,pct_self_emp_with_employees_part_time,pct_self_emp_with_employees_full_time,pct_self_emp_without_employees_part_time,pct_self_emp_without_employees_full_time,pct_unemployed,pct_full_time_student_active,pct_inactive_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive,pct_unemployed_of_total
E08000010,Wigan,317849,144283,103934,46797,18112,4723,45.4,32.7,14.7,5.7,1.5,22835,7.2,236495,162781,32880,94703,640,3324,4016,9465,11483,6270,73714,38211,8293,8302,14652,4256,68.8,13.9,40.0,0.3,1.4,1.7,4.0,4.9,2.7,31.2,16.2,3.5,3.5,6.2,1.8,4.85549377365272
E07000117,Burnley,87059,37372,29286,13682,5213,1506,42.9,33.6,15.7,6.0,1.7,6719,7.7,63376,41879,9129,23187,209,857,1275,2250,3342,1630,21497,9745,2749,2876,4433,1694,66.1,14.4,36.6,0.3,1.4,2.0,3.6,5.3,2.6,33.9,15.4,4.3,4.5,7.0,2.7,5.273289573340065
E07000118,Chorley,107155,51303,35705,14222,4623,1302,47.9,33.3,13.3,4.3,1.2,5925,5.5,79951,56645,11542,33167,282,1642,1678,3698,2588,2048,23306,12899,2590,2279,3262,2276,70.8,14.4,41.5,0.4,2.1,2.1,4.6,3.2,2.6,29.2,16.1,3.2,2.9,4.1,2.8,3.2369826518742726
E07000119,Fylde,75757,33815,25591,11619,3692,1040,44.6,33.8,15.3,4.9,1.4,4732,6.300000000000001,54544,36447,7374,20222,259,1291,1387,2752,1687,1475,18097,11262,1785,1699,2161,1190,66.8,13.5,37.1,0.5,2.4,2.5,5.0,3.1,2.7,33.2,20.6,3.3,3.1,4.0,2.2,3.092915811088296
E07000120,Hyndburn,80734,34759,27610,12225,4800,1340,43.1,34.2,15.1,5.9,1.7,6140,7.6,58356,39118,7902,22029,204,881,1260,2387,2688,1767,19238,8803,2513,2600,3912,1410,67.0,13.5,37.7,0.3,1.5,2.2,4.1,4.6,3.0,33.0,15.1,4.3,4.5,6.7,2.4,4.606210158338475
E07000121,Lancaster,138375,64577,46831,18960,6215,1792,46.7,33.8,13.7,4.5,1.3,8007,5.8,103296,67262,14852,34812,346,1784,2302,4402,3362,5402,36034,15718,11219,2915,4431,1751,65.1,14.4,33.7,0.3,1.7,2.2,4.3,3.3,5.2,34.9,15.2,10.9,2.8,4.3,1.7,3.2547242874845104
E07000122,Pendle,89452,38965,30826,13431,4921,1309,43.6,34.5,15.0,5.5,1.5,6230,7.0,64440,42765,9036,23179,299,1229,1573,2649,3012,1788,21675,9753,2650,3700,3921,1651,66.4,14.0,36.0,0.5,1.9,2.4,4.1,4.7,2.8,33.6,15.1,4.1,5.7,6.1,2.6,4.674115456238361
E07000123,Preston,140202,65276,47840,18585,6644,1857,46.6,34.1,13.3,4.7,1.3,8501,6.0,104085,70509,14188,38229,354,1528,1720,3331,4575,6584,33576,12147,8538,4579,5594,2718,67.7,13.6,36.7,0.3,1.5,1.7,3.2,4.4,6.3,32.3,11.7,8.2,4.4,5.4,2.6,4.395446029687275
E07000124,Ribble Valley,57132,29415,18376,7049,1805,487,51.5,32.2,12.3,3.2,0.9,2292,4.1000000000000005,41285,29672,6023,16105,215,1466,1233,2570,852,1208,11613,7431,1504,979,1128,571,71.9,14.6,39.0,0.5,3.6,3.0,6.2,2.1,2.9,28.1,18.0,3.6,2.4,2.7,1.4,2.063703524282427
E07000125,Rossendale,67982,31438,22508,9603,3475,958,46.2,33.1,14.1,5.1,1.4,4433,6.5,50075,35186,6794,20067,191,1025,1238,2549,2090,1232,14889,7372,2148,1809,2715,845,70.3,13.6,40.1,0.4,2.0,2.5,5.1,4.2,2.5,29.7,14.7,4.3,3.6,5.4,1.7,4.17373939091363
